planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory,factor_a,factor_b
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.201192,3584,916,,47,,,253,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-loose,loose,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.200943,3584,604,,51,,,299,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-tight,loose,tight
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.201040,3712,1048,,70,,,452,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-loose,tight,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.201065,4224,736,,86,,,566,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-tight,tight,tight
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.201176,8576,608,,42,,,369,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.200960,8576,1144,,42,,,369,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.201179,8320,1552,,51,,,483,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.200968,8320,1220,,51,,,483,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.401714,15488,13252,,33,7061,144,144,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-loose,loose,loose
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.201002,15616,592,,40,2103,197,197,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-tight,loose,tight
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-tight__battery-loose,solved,true,0,2.208778,65884,65884,,43,134220,232,232,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-loose,tight,loose
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.602572,28824,28824,,61,30931,310,310,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-tight,tight,tight
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.401735,20736,20652,,37,737,369,369,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.401752,22212,22212,,52,285,492,492,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.401754,22300,22300,,45,246,403,403,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.401730,21012,21012,,50,286,492,492,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.602471,30588,30588,,31,8081,121,121,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-loose,loose,loose
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-loose__battery-tight,solved,true,0,2.007988,70372,70372,,32,53020,136,136,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-tight,loose,tight
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-tight__battery-loose,solved,true,0,41.359473,1062452,1062452,,37,1177378,169,169,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-loose,tight,loose
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-tight__battery-tight,solved,true,0,46.775622,1197572,1197572,,38,1815848,184,184,valid,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-tight,tight,tight
