planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory,factor_a,factor_b
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.200995,3328,608,,65,,,328,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-loose,loose,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.200972,3200,596,,55,,,276,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-tight,loose,tight
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.201020,3328,928,,62,,,320,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-loose,tight,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.200934,3328,596,,61,,,327,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-tight,tight,tight
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.201000,7808,1224,,38,,,487,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.201058,7808,1356,,38,,,487,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.200969,7552,1140,,29,,,217,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.200823,7552,1224,,29,,,217,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.200961,15220,596,,27,2324,82,82,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-loose,loose,loose
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.200963,15092,604,,27,671,82,82,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-tight,loose,tight
