planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile1.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile1
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile10.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile10
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile11.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile11
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile12.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile12
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile13.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile13
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile14.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile14
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile15.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile15
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile16.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile16
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile17.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile17
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile18.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile18
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile19.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile19
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile2.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile2
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile20.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile20
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile3.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile3
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile4.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile4
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile5.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile5
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile6.pddl,dry-run,true,,0,,,,,,,,not-run,,results/raw/numeric-cegar-20260919-142128-101051/cases/numeric-cegar/cegar-min/counters/pfile6
